index,generated_output
103,The width of the product is 62 cm.
104,The height of the product is 35 cm.
105,The height of the product is 7.5 cm.
106,The width of the product is 16 cm.
107,The height of the product is 23.6 inches.
108,The product's item weight is 1 oz (28.35 grams).
109,The height of the product is 40 cm.
110,The height of the product is 8 cm.
111,The product's item weight is 10 oz.
112,The wattage of the product is 650 watts.
113,The product's item weight is not explicitly indicated in the image.
114,The product's item weight is 5500 grams.
115,The product is a 200W power supply unit.
116,The product's item weight is 1.05 oz (30g).
117,The product's item weight is 5g.
118,The width of the product is 10cm (3.9 inches).
119,"The depth of the product is 10cm, which is 3.9 inches."
120,The product's item weight is 108 grams (3.5 ounces).
121,The depth of the product is 31 cm.
122,The weight of the product is 250g.
123,The maximum weight recommendation is 660 lbs.
124,The product's item weight is 1 kg (35.27 oz).
125,The product's item weight is not explicitly indicated in the image.
126,The voltage rating of the product is 12V.
127,The height of the product is 191 cm.
128,The width of the product is 90 cm.
129,The product's item weight is 7.8 lbs.
130,The width of the product is 40 cm.
131,The width of the product is 25.6 inches or 65 centimeters.
132,The height of the product is 25.6 inches or 65 centimeters.
133,The depth of the product is 25.6 inches or 65 centimeters.
134,The maximum weight recommendation for the stroller is 50 pounds per seat.
135,The product has a height of 20.0 cm.
136,The depth of the product is 2.9 cm.
137,The product has a height of 18.5 cm.
138,The height of the product is 29.95 cm.
139,The width of the product is 100mm.
140,"The depth of the product is 11.5mm, which is 0.45 inches."
141,The height of the product is 14 cm.
142,"The depth of the product is 35 inches, which is 83.8 centimeters."
143,The width of the product is 35 inches (83.8 cm).
144,The depth of the product is 10cm/3.9in.
145,The product has a height of 90cm/35.4 inches.
146,The width of the product is 10cm/3.9in.
147,The volume of the product is 25.13 ml.
148,The width of the product is 50cm.
149,The depth of the product is 50cm.
150,The product's item weight is 104 grams.
151,The height of the product is 90 cm.
152,The depth of the product is 3.14 inches or 8 cm.
153,The height of the product is 7.86 inches or 20 cm.
154,The product has a width of 10cm.
155,The height of the product is 5 cm.
156,The width of the product is 35mm.
157,The width of the product is 36.2 inches.
158,The height of the product is 30.3 inches.
159,The product's item weight is 2.31 lb.
160,The product has a height of 25 cm.
161,The volume of the product is 32 ounces.
162,The height of the product is 82 cm.
163,The width of the product is 76 inches.
164,The product's item weight is 250g.
165,The voltage rating of the product is 24V.
166,The product is a 24V coffee pot.
167,The product's item weight is 6KG.
168,The width of the product is 10.5cm.
169,The depth of the product is 10.5cm.
170,The product's item weight is not explicitly indicated in the image.
171,The height of the product is 33.1 inches.
172,The product's item weight is 31 oz.
173,The width of the product is 1.1 inches or 3.0 centimeters.
174,The height of the product is 7.8 inches or 20.0 centimeters.
175,The width of the product is 14cm.
176,The weight of the product is 36035g.
177,The depth of the product is 0.79 inches.
178,The maximum weight recommendation is 20 pounds.
179,The depth of the product is 1.1 inches or 3.0 centimeters.
180,The width of the product is 1.1 inches or 3.0 centimeters.
181,The product's item weight is 32 ounces (2 pounds).
182,The height of the product is 74.5 cm.
183,The wattage of the product is 1800 watts.
184,The voltage rating of the product is 120V.
185,The product's item weight is not explicitly indicated in the image.
186,The width of the product is 5.08 cm or 2 inches.
187,The depth of the product is 2.83 inches.
188,The height of the product is 2.7 inches or 7.0 centimeters.
189,The depth of the product is 2.7 inches or 7.0 centimeters.
190,The product's item weight is 0.35 oz.
191,The depth of the product is 61cm.
192,The height of the product is 40 cm.
193,The product weight is 6.2 pounds.
194,The height of the product is 20 cm.
195,The height of the product is 27.4 cm.
196,The width of the product is 33.3 cm.
197,The maximum weight recommendation is 40 lb.
198,The product's item weight is 33 grams.
199,The product's item weight is 16.021188 kg.
200,"The height of the product is 37.5 cm, which is approximately 14.76 inches."
201,"The depth of the product is 37.5 cm, which is approximately 14.76 inches."
202,The width of the product is 37.5 cm or 14.76 inches.
203,The height of the product is 7.4 inches.
204,The depth of the product is 7.4 inches.
205,The wattage of the product is 1700W.
206,The voltage rating of the product is 1700W.
207,The height of the product is 11 inches (27.94 cm).
208,The product's item weight is 226 g.
209,The product's item weight is 11.8 kg.
210,The depth of the product is 85.7mm.
211,The product's item weight is 3.5g.
212,The height of the product is 75 cm.
213,The voltage rating of the product is 5V/2A.
214,The width of the product is 30 cm.
215,The height of the product is 60 cm.
216,The voltage rating of the product is 12V.
217,"The product is a Rebar Tying Machine, which is a tool used for tying rebar. The wattage of the product is not directly visible on the product itself. However, the product is powered by a 12V lithium-ion battery, which is a standard power source for many power tools. The wattage of the battery is typically indicated on the battery itself or on the product's packaging."
218,The product's item weight is not explicitly indicated in the image.
219,The product's item weight is not explicitly indicated in the image.
220,The depth of the product is 1.1 inches or 2.7 cm.
221,The height of the product is 8.1 inches or 20.6 cm.
222,The height of the product is 43.18 cm.
223,The product's item weight is 50.7 lbs.
224,The depth of the product is 200cm.
225,The width of the product is 3ft wide.
226,The height of the product is 8.5 cm.
227,The product's item weight is 4 oz or 113 grams.
228,The maximum weight recommendation is 37 pounds (16.8 kg).
229,The wattage of the product is 1500 watts.
230,The voltage rating of the product is 120V.
231,The height of the product is 23.5 cm.
232,The product's item weight is not explicitly indicated in the image.
233,The width of the product is 70 cm.
234,The depth of the product is 70 cm.
235,The width of the product is 42.1 inches.
236,The width of the product is 36.5 cm.
237,The width of the product is 183 cm (72.0 inches).
238,The depth of the product is 183 cm (72.0 inches).
239,The height of the product is 31.5 cm.
240,The width of the product is 60 cm.
241,The height of the product is 180 cm (70.8 inches).
242,The height of the product is 7cm.
243,The depth of the product is 7cm.
244,The depth of the product is 3.3 inches or 8.5 cm.
245,The depth of the product is 7.6 cm.
246,The width of the product is 7.6 cm.
247,The height of the product is 27.76 inches.
248,The width of the product is 35 cm (13.8 inches).
249,The width of the product is 4.6 inches or 11.7 centimeters.
250,The depth of the product is 2.32 inches or 5.9 centimeters.
251,The width of the product is 65cm.
252,The product's item weight is 120.0 g.
253,Volume: 1.05 fl oz
254,The depth of the product is 55 cm (21.7 inches).
255,The depth of the product is 16 cm or 0.6 feet.
256,"The height of the product is 16 cm or 06'29""."
257,"The width of the product is 16 cm or 06'29""."
258,The width of the product is 205 cm.
259,The depth of the product is 205 cm.
260,The maximum weight recommendation is 135 lbs for the top and 33 lbs for the drawers.
261,The weight capacity of the product is 135 lbs for the top and 33 lbs for the drawers.
262,The width of the product is 38.5 cm.
263,The width of the product is 18.5 inches.
264,The height of the product is 39 inches.
265,The height of the product is 2.55 inches (6.5 cm).
266,The depth of the product is 2.3 inches or 6.5 centimeters.
267,The height of the product is 11.6 inches (29.5 cm).
268,The width of the product is 20 cm.
269,The depth of the product is 8 cm.
270,The height of the product is 2.75 inches or 7 cm.
271,The width of the product is 2.75 inches or 7 cm.
272,The depth of the product is 2.75 inches or 7 cm.
273,The product's item weight is 500 grams.
274,The height of the product is 1.5 inches or 4.0 centimeters.
275,The depth of the product is 1.5 inches or 4.0 centimeters.
276,The product's item weight is 8 oz (227 g).
277,The wattage of the product is 6.72W.
278,The voltage rating of the product is 12V DC.
279,The depth of the product is 1.9 inches or 5.0 centimeters.
280,The product has a height of 1.9 inches or 5.0 centimeters.
281,"The product's item weight is indicated in the image. Here are the weights for each product:

- Futurizta 5000mAh: 109g
- Futurizta 10000mAh: 180g"
282,The depth of the product is 5.8 inches or 14 cm.
283,The width of the product is 5.8 inches or 14 centimeters.
284,The product's item weight is 12 oz (354g).
285,The height of the product is 16.5 cm.
286,The width of the product is 23.62 inches.
287,The voltage rating of the product is 380 V.
288,The depth of the product is 3.5 inches.
289,The product has a height of 8 inches.
290,The product's item weight is 105g (3.5oz).
291,The height of the product is 15.3 inches.
292,The depth of the product is 9 cm or 3.5 inches.
293,The maximum weight recommendation is 120 kg.
294,The depth of the product is 2.55 inches or 6.5 cm.
295,The width of the product is 2.55 inches or 6.5 cm.
296,The width of the product is 44.88 inches.
297,The product has a height of 63 inches.
298,"The product is not specified in the image, so it is not possible to determine the wattage."
299,The voltage rating mentioned in the product illustration is 120V.
300,"The voltage rating of the product is not explicitly mentioned in the provided image. However, the image does provide some electrical specifications that might be relevant to the product's voltage rating. The specifications include:

- 1599.4 ± 1 (Out Line)
- 1555.6 (Opening Aera Up)
- 1553.4 (Opening Aera Down)
- 9.5 ± 0.3

These specifications likely pertain to the dimensions and tolerances of the product, which could be related to the voltage rating of the product. To determine the voltage rating, one would need to refer to the product's specifications or the manufacturer's documentation."
301,The voltage rating of the product is 22V.
302,The wattage of the product is 220 watts.
303,The product's item weight is not explicitly indicated in the image.
304,The depth of the product is 1.2 cm or 0.47 inches.
305,The depth of the product is 300mm.
306,The product's item weight is 500g.
307,The product has a height of 25 inches (63.5 cm).
308,The product weight is 45 lb.
309,The depth of the product is 0.9 inches or 2.2 centimeters.
310,The width of the product is 1.8 inches or 4.5 centimeters.
311,The width of the product is 35.5 cm.
312,The product's item weight is 3.75 lbs.
313,The product's item weight is 6 ounces (170 grams).
314,"The depth of the product is 5.0 cm, which is approximately 1.96 inches."
315,The product has a height of 21 cm (8.3 inches).
316,The width of the product is 5.0 cm (1.96 inches).
317,The depth of the product is 6 cm.
318,The width of the product is 15.2 cm.
319,The product's item weight is 1.7 kg (1700 grams).
320,"The height of the product is 7.5 cm, which is approximately 2.95 inches."
321,"The depth of the product is 7.5 cm, which is approximately 2.95 inches."
322,The height of the product is 11 inches (27.94 cm).
323,The voltage rating of the product is 120V.
324,The wattage of the product is 1800 watts.
325,"The depth of the product is 11.5 cm, which is approximately 4.53 inches."
326,The product has a height of 15.5 cm (6.1 inches).
327,The depth of the product is 7CM.
328,The height of the product is 7CM.
329,The width of the product is 7CM.
330,The product weighs only 6 ounces.
331,The product's item weight is 500g.
332,The depth of the product is 15.72 inches.
333,The product is 40 cm tall.
334,The voltage rating of the product is 120V.
335,The product has a wattage of 120W.
336,The volume of the product is 1.35 fluid ounces.
337,The height of the product is 4.9 inches.
338,The depth of the product is 0.7 inches or 2.0 centimeters.
339,The product is a 24V car kettle.
340,The voltage rating of the product is 24V.
341,The product's item weight is 1.62 ounces (oz).
342,The product is 25cm or 9'84 inches tall.
343,The product is 25cm or 9'84 inches tall.
344,"The width of the product is 25cm or 9'84""."
345,The width of the product is 60cm.
346,The width of the product is 8.5cm.
347,The depth of the product is 8.5cm.
348,The height of the product is 17 cm.
349,The product's item weight is not explicitly indicated in the image.
350,The depth of the product is 2.8 inches.
351,The width of the product is 4 inches.
352,The depth of the product is 10CM.
353,The height of the product is 16 cm.
354,"The product is a rectangular shape with a width of 3 inches, a depth of 2 inches, and a height of 2 inches. The volume can be calculated as:

Volume = Width x Depth x Height
Volume = 3 inches x 2 inches x 2 inches
Volume = 12 cubic inches

Therefore, the volume of the product is 12 cubic inches."
355,The depth of the product is 2.95 inches.
356,The height of the product is 12 inches.
357,The depth of the product is 3.1 inches or 7.8 centimeters.
358,The width of the product is 3.1 inches or 7.8 centimeters.
359,The product's item weight is 8 ounces (0.5 pounds).
360,The depth of the product is 0.59 inches or 1.5 centimeters.
361,The width of the product is 0.78 inches or 2 centimeters.
362,The product's item weight is 1050 grams.
363,The maximum weight recommendation for the Twin bed in the image is 800 lb.
364,The height of the product is 74 cm.
365,The height of the product is 55 cm (21.5 inches).
366,The width of the product is 35 cm (14 inches).
367,The depth of the product is 35 cm (14 inches).
368,"The volume of the product can be determined by interpreting the visible dimensions of the box. The box has a width of 120 mm, a depth of 60 mm, and a height of 60 mm. The volume of a rectangular prism (which the box likely represents) is calculated as length x width x height. Therefore, the volume of the product is:

\[ \text{Volume} = \text{Width} \times \text{Depth} \times \text{Height} \]
\[ \text{Volume} = 120 \, \text{mm} \times 60 \, \text{mm} \times 60 \, \text{mm} \]
\[ \text{Volume} = 216,000 \, \text{mm}^3 \]

Converting cubic millimeters to cubic centimeters (since the volume is given in milliliters), we get:

\[ \text{Volume} = 216,000 \, \text{mm}^3 = 216 \, \text{cm}^3 \]

Therefore, the volume of the product is 216 cubic centimeters."
369,The width of the product is 24 cm.
370,The width of the product is 25.5 cm.
371,The height of the product is 190 cm.
372,The volume of the product is 10 ounces.
373,The height of the product is 7.0 inches.
374,The width of the product is 7.0 inches / 17.8 cm.
375,The height of the product is 30 cm.
376,The product's item weight is 3 kg.
377,The wattage of the product is 1200 watts.
378,The voltage rating of the product is 12V.
379,The depth of the product is 2.4 inches or 6.1 centimeters.
380,The height of the product is 2.4 inches or 6.1 centimeters.
381,The width of the product is 4.7 inches or 12 centimeters.
382,The product is 60 cm tall.
383,The product's item weight is 0.63 oz.
384,The voltage rating of the product is 24V.
385,The wattage of the product is 24V.
386,The depth of the product is 14cm (5.5 inches).
387,The width of the product is 14cm (5.5 inches).
388,The voltage rating of the product is 1066 MHz.
389,The height of the product is 9.3 inches.
390,"To determine the volume of the Red Bull Coconut Edition can, we need to consider the dimensions of the can and use the formula for the volume of a cylinder:

\[ \text{Volume} = \pi r^2 h \]

where:
- \( r \) is the radius of the can,
- \( h \) is the height of the can.

However, since the image does not provide explicit dimensions for the width, depth, and height, we cannot directly calculate the volume from the visible dimensions. The dimensions visible in the image are:
- Width: 12 inches
- Depth: 12 inches
- Height: 12 inches

Since the dimensions are the same, we can assume that the volume is the same as the height, which is 12 inches. Therefore, the volume of the Red Bull Coconut Edition can is:

\[ \text{Volume} = \pi r^2 h = \pi \times 12^2 \times 12 \]

\[ \text{Volume} = \pi \times 144 \times 12 \]

\[ \text{Volume} = 1728\pi \]

\[ \text{Volume} \approx 5444.48 \text{ cubic inches} \]

So, the volume of the Red Bull Coconut Edition can is approximately 5444.48 cubic inches."
391,The width of the product is 100 cm.
392,The height of the product is 40 cm.
393,The product is 11.5cm/4.5 inches deep.
394,The product has a width of 11.5 cm or 4.5 inches.
395,The height of the product is 11.5 cm or 4.5 inches.
396,The maximum weight recommendation is 12 lbs.
397,The product's item weight is 340 grams.
398,The depth of the product is 15 cm.
399,The height of the product in the picture is 15 cm.
400,The width of the product in the picture is 15 cm.
401,"To determine the volume of the Dad's Old Fashioned Red Cream Soda bottle, we need to consider the dimensions of the bottle and any visible dimensions that might be relevant to the volume calculation.

1. **Width**: The visible width of the bottle is approximately 3 inches.
2. **Depth**: The visible depth of the bottle is approximately 3 inches.
3. **Height**: The visible height of the bottle is approximately 5 inches.

Given these dimensions, we can calculate the volume of the bottle using the formula for the volume of a rectangular prism:

\[ \text{Volume} = \text{Width} \times \text{Depth} \times \text{Height} \]

\[ \text{Volume} = 3 \, \text{inches} \times 3 \, \text{inches} \times 5 \, \text{inches} \]

\[ \text{Volume} = 45 \, \text{cubic inches} \]

Therefore, the volume of the Dad's Old Fashioned Red Cream Soda bottle is 45 cubic inches."
402,The product's item weight is 8 oz.
403,The height of the product is 120cm.
404,The width of the product is 7.1 cm.
405,The height of the product is 7.9 cm.
406,The wattage of the product is 60 watts.
407,The voltage rating of the product is 24VAC.
408,"The product is a laptop screen, and the voltage rating is typically not mentioned on the product itself. However, the illustration shows a 30-pin eDP connector, which is a standard connector for display ports. The voltage rating for the screen would be specified on the product's packaging or manual."
409,The width of the product is 13.5 cm.
410,The depth of the product is 13.5 cm.
411,The height of the product is 13.5 cm.
412,The product has a height of 146 cm.
413,The width of the product is 135mm.
414,"The product is a pressure cooker, and the wattage is not directly visible on the product itself. However, you can find the wattage information on the label or packaging. Typically, pressure cookers have wattage ratings of 1000 to 3000 watts."
415,The product's item weight is 5 kg.
416,The product illustration does not provide information about the voltage rating.
417,The product's item weight is 500 grams.
418,The depth of the product is 2.2 inches or 5.5 cm.
419,The product is 8.3 inches tall.
420,The volume of the product is 473 ml.
421,The wattage of the product is not explicitly mentioned in the image.
422,The product illustration does not provide information about the voltage rating.
423,The product is 27 inches tall.
424,The depth of the product is 27 inches or 69 centimeters.
425,The product is 27 inches wide.
426,The product's item weight is 250g.
427,The width of the product is 11 cm.
428,The depth of the product is 3.14 inches or 8 cm.
429,The product has a height of 3.14 inches or 8 centimeters.
430,The depth of the product is 253 cm.
431,The width of the product is 63 cm.
432,The depth of the product is 10.2 cm / 4 inches.
433,The width of the product is 10.2 cm or 4 inches.
434,The depth of the product is 3.1 inches or 8 centimeters.
435,The width of the product is 3.9 inches or 10 centimeters.
436,The product's item weight is 5000 mAh.
437,"The depth of the product is 10 cm, which is 3.93 inches."
438,The width of the product is 20cm or 7.87 inches.
439,The width of the product is 48mm.
440,The depth of the product is 48mm.
441,The product's item weight is 1500W.
442,The voltage rating of the product is 220V.
443,The label on the product indicates that it is rated at 220 volts.
444,The label in the image indicates the voltage as 220V.
445,The wattage of the product is 120 watts.
446,The voltage rating of the product is 12V.
447,The maximum weight recommendation is 20 grams.
448,The product's item weight is 20g.
449,The width of the product is 28cm.
450,The width of the product is 30 cm.
451,"The maximum weight recommendation is not explicitly stated in the image. However, the image mentions ""Solid One-piece Wood Tabletop"" and provides dimensions of 23.62 inches by 55 inches."
452,The width of the product is 51cm.
453,The width of the product is 50 cm.
454,The width of the product is 101 cm (39.8 inches).
455,The depth of the product is 3.74 inches or 9.5 centimeters.
456,The height of the product is 3.74 inches (9.5 cm).
457,The height of the product is 6.29 inches or 16 cm.
458,The depth of the product is 8.26 inches or 21 centimeters.
459,The height of the product is 23.6 inches.
460,The depth of the product is 24 cm (9.4 inches).
461,"The product in the picture is a roll of paper towels. The dimensions of the paper towel roll are as follows:

- Width: 60 cm
- Height: 60 cm

Therefore, the height of the product is 60 cm."
462,The depth of the product is 60 cm.
463,The width of the product is 60 cm.
464,The voltage rating of the product is not explicitly mentioned in the product illustration.
465,The wattage of the product is not explicitly mentioned in the image.
466,The product's item weight is 10 pounds.
467,"To determine the volume of the product, we need to know the dimensions of the bottles. However, the image only shows the labels of the bottles, not the actual dimensions. Since the labels indicate that the product is 70% isopropyl alcohol, we can assume that the volume is the same for both bottles.

Given that the bottles are 1000 milliliters each, the total volume of the product is:

\[ 1000 \, \text{mL} \times 2 = 2000 \, \text{mL} \]

Therefore, the volume of the product is 2000 milliliters."
468,The product's item weight is 3.5 oz.
469,The depth of the product is 9 inches or 23 cm.
470,The product is 9 inches tall.
471,The product's item weight is not explicitly indicated in the image.
472,The electricity use of the product is 73 watts.
473,The voltage rating of the product is 120V.
474,The width of the product is 35 cm (13.8 inches).
475,The depth of the product is 13 inches (33 cm).
476,The width of the product is 13 inches (33 cm).
477,The height of the product is 13 inches (33 cm).
478,The width of the product is 13cm (5.1 inches).
479,The maximum weight recommendation is 132 lbs.
480,The product's item weight is 1 lb (16 oz).
481,The volume of the product is 355 mL.
482,The width of the product is 24 cm.
483,The width of the product is 57 cm.
484,The product has a width of 30CM.
485,The depth of the product is 30CM.
486,The product in the picture is a solar-powered garden light. The height of the product is 30 cm.
487,The depth of the product is 3.9 inches or 10.0 centimeters.
488,The width of the product is 3.9 inches or 10.0 centimeters.
489,The height of the product is 5.9 inches or 15.0 centimeters.
490,The height of the product is 36 cm.
491,The width of the product is 75 cm.
492,The width of the product is 12mm.
493,The depth of the product is 12mm.
494,The product has a height of 12mm.
495,The product is a dropper bottle with a visible volume of 50 ml.
496,The depth of the product is 1.41 inches or 3.6 centimeters.
497,The width of the product is 1.41 inches or 3.6 centimeters.
498,The depth of the product is 3.4 inches (8.7 cm).
499,The height of the product is 2.5 inches or 6.4 centimeters.
500,The height of the product is 4.8 cm.
501,The voltage rating of the product is 5V-2.0A.
502,The width of the product is 12 inches.
503,The depth of the product is 12 inches.
504,The binoculars have a weight of 126g.
505,"To determine the volume of the product, we need to consider the dimensions of the bottle and the liquid inside it. The bottle has a width of 10 cm, a depth of 5 cm, and a height of 20 cm. The liquid inside the bottle is 1 liter (1000 ml).

The volume of a rectangular prism (which is the shape of the bottle) can be calculated using the formula:

\[ \text{Volume} = \text{Width} \times \text{Depth} \times \text{Height} \]

Substituting the given dimensions:

\[ \text{Volume} = 10 \, \text{cm} \times 5 \, \text{cm} \times 20 \, \text{cm} \]
\[ \text{Volume} = 1000 \, \text{cm}^3 \]

Since 1 liter is equal to 1000 cubic centimeters (cm³), the volume of the product is:

\[ 1000 \, \text{cm}^3 = 1 \, \text{liter} \]

Therefore, the volume of the product is 1 liter."
506,The product has a height of 9 cm (3.5 inches).
507,The width of the product is 9 cm (3.5 inches).
508,The depth of the product is 7.0 inches or 17 centimeters.
509,The width of the product is 7.0 inches or 17 centimeters.
510,The height of the product is 60 cm.
511,The height of the product is 60 cm.
512,The product's item weight is 23 pounds.
513,The width of the product is 23 cm (9.1 inches).
514,The product's item weight is 68g.
515,The maximum weight recommendation is 75 kg.
516,The width of the product is 2.5 cm.
517,The depth of the product is 2.5 cm (1 inch).
518,The height of the product is 20 mm.
519,"The product illustration does not provide specific voltage ratings. However, it does mention that the product is suitable for a 50-inch display. This suggests that the product is designed to work with displays that are 50 inches in size or larger."
520,The width of the product is 11.4 inches (28.96 cm).
521,The product is 39.3 inches tall.
522,The width of the product is 13.3 inches (33.7 cm).
523,The width of the product is 67 cm.
524,The depth of the product is 3.5 inches or 9.0 cm.
525,The product has a height of 3.5 inches or 9.0 centimeters.
526,The width of the product is 3.5 inches or 9.0 centimeters.
527,The depth of the product is 7.07 inches or 18 cm.
528,The width of the product is 5.1 inches or 13.2 centimeters.
529,The depth of the product is 5.1 inches / 13.2 cm.
530,The depth of the product is 2.1 inches or 5.5 centimeters.
531,The product has a height of 5.5 inches (14.2 cm).
532,The product's item weight is 150 grams.
533,The product's item weight is not explicitly indicated in the image.
534,The height of the product is 180 cm (70.9 inches).
535,The product's item weight is 500 grams.
536,The height of the product is 40 cm.
537,The width of the product is 115.6 cm (45.5 inches).
538,The product's item weight is 25 grams.
539,The depth of the product is 1.5mm.
540,The volume of the product is 30 milliliters.
541,The depth of the product is 21mm.
542,The depth of the product is 3.5 inches or 9.0 centimeters.
543,The height of the product is 3.5 inches or 9.0 centimeters.
544,The product's item weight is not explicitly indicated in the image.
545,The width of the product is 33.02 cm.
546,The depth of the product is 33.02 cm.
547,The height of the product is 60.96 cm.
548,The voltage rating of the product is 12V.
